ISSUER_NAME,NACE_CODE,SECTOR,COUNTRY_OF_RISK
E.ON SE,D,"Electricity, Gas, Steam And Air Conditioning Supply",Germany
Brenntag Finance B.V.,K,Financial And Insurance Activities,Netherlands
TLG IMMOBILIEN AG,L,Real Estate Activities,Germany
Hannover RE,K,Financial And Insurance Activities,Germany
"Ferrovial Emisiones, S.A.",K,Financial And Insurance Activities,Spain
Abertis Infraestructuras SA,F,Construction,Italy
Mapfre SA,K,Financial And Insurance Activities,Spain
Corporacion de Reservas Estrategicas de Productos Petroliferos,B,Mining And Quarrying,Spain
Telef�nica Europe B.V.,K,Financial And Insurance Activities,Netherlands
Iberdrola International B.V.,K,Financial And Insurance Activities,Netherlands
Redexis Gas Finance B.V.,K,Financial And Insurance Activities,Netherlands
Distribuidora Intl de Alim.SA,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Spain
Amadeus Capital Markets S.A.U.,K,Financial And Insurance Activities,Spain
Merlin Properties SOCIMI S.A.,K,Financial And Insurance Activities,Spain
Cellnex Telecom S.A.,H,Transportation And Storage,Spain
Madrile�a Red de Gas Fin. B.V.,L,Real Estate Activities,Netherlands
"Prosegur Compania de Seguridad, S.A., Madrid",M,"Professional, Scientific And Technical Activities",Spain
STRABAG SE,F,Construction,Austria
KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,D,"Electricity, Gas, Steam And Air Conditioning Supply",Austria
NOVOMATIC AG,K,Financial And Insurance Activities,Austria
DNA Oyj,J,Information And Communication,Finland
Energie AG Ober�sterreich,D,"Electricity, Gas, Steam And Air Conditioning Supply",Austria
Eesti Energia AS,D,"Electricity, Gas, Steam And Air Conditioning Supply",Estonia
DAA Finance PLC,K,Financial And Insurance Activities,Ireland
Verbund AG,D,"Electricity, Gas, Steam And Air Conditioning Supply",Austria
OMV AG,B,Mining And Quarrying,Austria
Elering A.S.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Estonia
EVN AG,D,"Electricity, Gas, Steam And Air Conditioning Supply",Austria
Teollisuuden Voima Oyj,D,"Electricity, Gas, Steam And Air Conditioning Supply",Finland
Fingrid Oyj,D,"Electricity, Gas, Steam And Air Conditioning Supply",Finland
Elisa Oyj,J,Information And Communication,Finland
Citycon Oyj,L,Real Estate Activities,Finland
Sampo OYJ,K,Financial And Insurance Activities,Finland
ESB Finance DAC,C,Manufacturing,Ireland
Gas Networks Ireland,H,Transportation And Storage,Ireland
Fresenius Finance Ireland PLC,K,Financial And Insurance Activities,Ireland
Metso Outotec,B,Mining And Quarrying,Finland
Kojamo Oyj,L,Real Estate Activities,Finland
Ignitis Grupe UAB,C,Manufacturing,Lithuania
Orange S.A.,J,Information And Communication,France
La Poste,C,Manufacturing,France
Veolia Environnement S.A.,K,Financial And Insurance Activities,France
SNCF MOBILITES,H,Transportation And Storage,France
Bouygues S.A.,F,Construction,France
Compagnie Fin. Ind. Autoroutes,H,Transportation And Storage,France
Autoroutes du Sud de la France,F,Construction,France
RTE EDF TRANSPORT,D,"Electricity, Gas, Steam And Air Conditioning Supply",France
Engie S.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",France
SUEZ,A,"Agriculture, Forestry And Fishing",France
ELECTRICITE DE FRANCE (EDF),D,"Electricity, Gas, Steam And Air Conditioning Supply",France
Vivendi S.A.,J,Information And Communication,France
Alstom S.A.,C,Manufacturing,France
Air Liquide Finance,K,Financial And Insurance Activities,France
Air Liquide S.A.,C,Manufacturing,France
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),B,Mining And Quarrying,France
DANONE,C,Manufacturing,France
Schneider Electric SE,C,Manufacturing,France
VINCI,F,Construction,France
GECINA,K,Financial And Insurance Activities,France
Kering S.A.,C,Manufacturing,France
AEROPORTS DE PARIS,H,Transportation And Storage,France
Klepierre,K,Financial And Insurance Activities,France
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),H,Transportation And Storage,France
LVMH Mo�t Henn. L. Vuitton SE,A,"Agriculture, Forestry And Fishing",France
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),C,Manufacturing,France
Sanofi S.A.,C,Manufacturing,France
RENAULT SA,C,Manufacturing,France
Valeo S.A.,C,Manufacturing,France
Pernod-Ricard S.A.,C,Manufacturing,France
EssilorLuxottica S.A.,C,Manufacturing,France
INFRA PARK,H,Transportation And Storage,France
Mercialys,L,Real Estate Activities,France
SOCIETE FONCIERE LYONNAISE SA,K,Financial And Insurance Activities,France
Publicis Groupe S.A.,M,"Professional, Scientific And Technical Activities",France
ARKEMA SA,B,Mining And Quarrying,France
Edenred S.A.,A,"Agriculture, Forestry And Fishing",France
TOTAL INFRASTRUCTURES GAZ FRANCE,H,Transportation And Storage,France
CARMILA,L,Real Estate Activities,France
Wendel S.A.,K,Financial And Insurance Activities,France
Legrand S.A.,C,Manufacturing,France
Covivio S.A.,L,Real Estate Activities,France
JCDECAUX SA,M,"Professional, Scientific And Technical Activities",France
SOCIETE DES AUTOROUTES PARIS-RHIN-RHONE (APRR),F,Construction,France
Regie Autonome des Transports Parisiens (RATP),H,Transportation And Storage,France
CAP GEMINI,J,Information And Communication,France
Coentreprise de Transport d'Electricit�,D,"Electricity, Gas, Steam And Air Conditioning Supply",France
Holding d Infrastructures de Transport S.A.S,C,Manufacturing,France
THALES,C,Manufacturing,France
Unibail-Rodamco SE,K,Financial And Insurance Activities,France
Total Capital International S.A.,K,Financial And Insurance Activities,France
SODEXO SA,S,Other Service Activities,France
AXA S.A.,K,Financial And Insurance Activities,France
Compagnie de Saint-Gobain S.A.,C,Manufacturing,France
Atlantia S.p.A.,H,Transportation And Storage,Italy
Autostrade per L'Italia S.p.A.,H,Transportation And Storage,Italy
ENEL S.p.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
Telecom Italia S.p.A.,H,Transportation And Storage,Italy
Terna Rete Elettrica Nazio.SpA,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
Leonardo S.p.A.,C,Manufacturing,Italy
ENI S.p.A.,B,Mining And Quarrying,Italy
Assicurazioni Generali S.p.A.,K,Financial And Insurance Activities,Italy
Hera S.p.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
ACEA S.p.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
Snam S.p.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
A2A S.p.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
Poste Italiane S.p.A.,K,Financial And Insurance Activities,Italy
Ferrovie dello Stato Ital.SpA,K,Financial And Insurance Activities,Italy
Linea Group Holding S.p.A.,K,Financial And Insurance Activities,Italy
Aeroporti di Roma S.p.A.,H,Transportation And Storage,Italy
Iren S.p.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
2i Rete Gas S.p.A.,K,Financial And Insurance Activities,Italy
Autostrada Brescia Verona Vicenza Padova S.p.A,R,"Arts, Entertainment And Recreation",Italy
RAI - RADIOTELEVISIONE ITALIANA SPA,J,Information And Communication,Italy
Italgas S.P.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
Covivio S.A.,L,Real Estate Activities,Italy
Esselunga S.p.A.,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Italy
HOCHTIEF AG,F,Construction,Germany
Schaeffler AG,C,Manufacturing,Germany
Fresenius Medical Care AG & Co KGaA,J,Information And Communication,Germany
Fresenius SE & Co. KGaA,J,Information And Communication,Germany
"Amadeus IT Group SA, Madrid",J,Information And Communication,Spain
Borealis AG,C,Manufacturing,Austria
Metsa Board Oyj,C,Manufacturing,Finland
Nokia OYJ,C,Manufacturing,Finland
Stora Enso Oyj,C,Manufacturing,Finland
Carrefour SA,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,France
Altareit SCA,L,Real Estate Activities,France
"Compagnie Generale des Etablissements Michelin, Clermont-Ferrand",C,Manufacturing,France
"Atos SE, Bezons",J,Information And Communication,France
"Buzzi Unicem S.p.A., Casale Monferrato",C,Manufacturing,Italy
ENI Finance International S.A.,K,Financial And Insurance Activities,Belgium
EDP - Energias de Portugal SA,D,"Electricity, Gas, Steam And Air Conditioning Supply",Portugal
ArcelorMittal  S.A,B,Mining And Quarrying,Luxembourg
Signify NV,C,Manufacturing,Netherlands
Airbus SE,C,Manufacturing,Netherlands
CPI Property Group SA,K,Financial And Insurance Activities,Luxembourg
"Stellantis N.V, Amsterdam",C,Manufacturing,Netherlands
SIG Combibloc,K,Financial And Insurance Activities,Luxembourg
Eustream AS,H,Transportation And Storage,Slovakia
"Deutsche Telekom AG, Bonn",J,Information And Communication,Germany
"Conti-Gummi Finance B.V., Amsterdam",K,Financial And Insurance Activities,Netherlands
MTU Aero Engines AG,C,Manufacturing,Germany
International Consolidated Airlines Group,H,Transportation And Storage,Spain
Red Electrica Corporacion SA,D,"Electricity, Gas, Steam And Air Conditioning Supply",Spain
"ACS, Act.de Constr.y Serv. SA",F,Construction,Spain
Ignitis Grupe UAB,J,Information And Communication,Lithuania
"Fortum Oyj, Helsinki",D,"Electricity, Gas, Steam And Air Conditioning Supply",Finland
CA Immobilien Anlagen AG,L,Real Estate Activities,Austria
SATO Oyj,L,Real Estate Activities,Finland
CRH Finland Services OYJ,C,Manufacturing,Finland
UNIQA Insurance Group AG,K,Financial And Insurance Activities,Austria
Dassault Systemes,C,Manufacturing,France
Ceetrus S.A,K,Financial And Insurance Activities,France
Auchan Holding SA,K,Financial And Insurance Activities,France
"Worldline S.A., Bezons",J,Information And Communication,France
ERG S.p.A,C,Manufacturing,Italy
Infrastrutture Wireless Italiane S.p.A,J,Information And Communication,Italy
Groupe Bruxelles Lambert SA,C,Manufacturing,Belgium
Proximus S.A.,J,Information And Communication,Belgium
Barry Callebaut Services N.V,C,Manufacturing,Belgium
VGP NV,L,Real Estate Activities,Belgium
Aedifica SA,K,Financial And Insurance Activities,Belgium
Eurofins Scientific SE,M,"Professional, Scientific And Technical Activities",Luxembourg
PROSUS N.V,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Netherlands
Louis Dreyfus Co BV,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Netherlands
Technip Energies NV,K,Financial And Insurance Activities,Netherlands
JDE Peet�s NV,A,"Agriculture, Forestry And Fishing",Netherlands
Vonovia SE,L,Real Estate Activities,Germany
adidas AG,C,Manufacturing,Germany
Kion Group AG,H,Transportation And Storage,Germany
RWE AG,D,"Electricity, Gas, Steam And Air Conditioning Supply",Germany
"Inmobiliaria Colonial, Socimi SA",L,Real Estate Activities,Spain
El Corte Ingle S.A.,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Spain
Nortegas Energia Distribution,D,"Electricity, Gas, Steam And Air Conditioning Supply",Spain
Lar Espana Real Estate SOCIMI,L,Real Estate Activities,Spain
Vienna Insurance Group AG,K,Financial And Insurance Activities,Austria
Immofinanz AG,L,Real Estate Activities,Austria
UPM-Kymmene OYJ,C,Manufacturing,Finland
Linde plc,C,Manufacturing,Ireland
Groupe VYV,K,Financial And Insurance Activities,France
Elis SA,C,Manufacturing,France
Teleperformance SE,A,"Agriculture, Forestry And Fishing",France
ALTAREA,F,Construction,France
Safran SA,C,Manufacturing,France
"Argan SA, Paris",A,"Agriculture, Forestry And Fishing",France
TDF Infrastructure,H,Transportation And Storage,France
Unipol Gruppo S.p.A,K,Financial And Insurance Activities,Italy
FNM SPA,H,Transportation And Storage,Italy
"ASTM S.p.A, Turin",H,Transportation And Storage,Italy
METRO Finance B.V.,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Germany
Delta Lloyd NV,K,Financial And Insurance Activities,Netherlands
Edison S.p.A.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Italy
Dummy issuer - Bond received in agency SL,C,Manufacturing,Germany
Dummy issuer - bond missing in EADB,J,Information And Communication,Finland
Dummy issuer - bond missing in EADB,L,Real Estate Activities,France
