ISSUER_NAME,TOTAL__REVENUE,ECONOMIC_SECTOR,TOTAL_GHG: MEAN_INTENSITY,CARBON_INTENSITY
SOCIETE FONCIERE LYONNAISE SA,223.65,Other sectors,22028.0,98.49
Deutsche Post AG,68528.57,Infrastructure and transportation,6490000.0,94.71
HOCHTIEF AG,25569.92,Construction & Materials,2215050.0,86.63
Cellnex Telecom S.A.,855.99,Infrastructure and transportation,72010.14,84.12
Anheuser-Busch InBev S.A./N.V.,56444.0,Energy and basic resources,4681436.0,82.94
Bouygues S.A.,37368.02,Construction & Materials,3004900.0,80.41
Schaeffler AG,15841.84,Other sectors,1234113.0,77.9
KLEPIERRE,1589.16,Other sectors,118038.0,74.28
Klepierre,1589.16,Other sectors,118038.0,74.28
Heineken N.V.,24415.25,Energy and basic resources,1757665.0,71.99
Delhaize Group S.A.,71057.21,Beverages,4360000.0,61.36
Koninklijke Ahold Delhaize N.V.,71057.21,Beverages,4360000.0,61.36
Continental AG,49724.79,Other sectors,3045659.0,61.25
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),2068.75,Other sectors,117441.0,56.77
Holding d Infrastructures de Transport S.A.S,2068.75,Other sectors,117441.0,56.77
Auchan Holding SA,59508.86,Other sectors,3351862.0,56.33
Terna Rete Elettrica Nazio.SpA,2487.17,Utilities,136707.2,54.96
Signify NV,7869.51,Other sectors,422485.0,53.69
DANONE,28034.21,Food,1467604.0,52.35
VINCI,46411.46,Construction & Materials,2233043.0,48.11
"Deutsche Telekom AG, Bonn",87306.93,Telecommunication,3863684.49,44.25
JCDECAUX SA,3457.95,Other sectors,149887.0,43.35
Metso Outotec,3049.51,Energy and basic resources,130601.0,42.83
MERCIALYS,209.38,Real estate,8892.0,42.47
Mercialys,209.38,Real estate,8892.0,42.47
Leonardo S.p.A.,13257.84,Other sectors,561614.0,42.36
Valeo S.A.,20884.42,Other sectors,856700.0,41.02
Bayer AG,39562.22,Chemicals,1610000.0,40.7
Elisa Oyj,2019.52,Telecommunication,81935.0,40.57
Elis SA,2478.47,Other sectors,99408.0,40.11
Unilever NV,60705.17,Other sectors,2361670.0,38.9
EssilorLuxottica S.A.,10376.68,Other sectors,395093.0,38.08
