YEAR,ECONOMIC_SECTOR,RISK_COUNTRY,MEAN_WEIGHTED_INTENSITY,MED_WEIGHTED_INTENSITY,TOTAL_HOLDINGS,TOTAL_HOLDINGS(USD),SECTOR_CSPP_HOLDINGS,SECTOR_ELIGIBLE_CSPP_UNIVERSE,COUNTRY_CSPP_HOLDINGS,COUNTRY_ELIGIBLE_CSPP_UNIVERSE,WEIGHTS,SUM_WEIGHTS,MEAN_WACI,MEDIAN_WACI
2017,Infrastructure and transportation,Spain,84.1249780955385,84.1249780955385,114630.2857142857,120362,0.12,0.14,0.11,0.1,0.0132,0.6587,1.685820116686061,1.685820116686061
2017,Insurance,France,0.9714609855907835,0.9714609855907835,114630.2857142857,120362,0.03,0.03,0.29,0.31,0.0087,0.6587,0.012830895057901649,0.012830895057901649
2017,Insurance,Germany,150.84,150.84,114630.2857142857,120362,0.03,0.03,0.25,0.25,0.0075,0.6587,1.717473812054046,1.717473812054046
2017,Insurance,Italy,50.8525837755438,0.8588756633157039,114630.2857142857,120362,0.03,0.03,0.11,0.12,0.0033,0.6587,0.25476472819082213,0.004302853634343135
2017,Insurance,Netherlands,5615.016681557963,10696.432052578431,114630.2857142857,120362,0.03,0.03,0.06,0.05,0.0018,0.6587,15.343904701388087,29.22966099080185
2017,Insurance,Other (euro area),150.83999999999997,150.83999999999997,114630.2857142857,120362,0.03,0.03,0.06,0.06,0.0018,0.6587,0.4121937148929709,0.4121937148929709
2017,Insurance,Spain,2.10892137439707,2.10892137439707,114630.2857142857,120362,0.03,0.03,0.11,0.1,0.0033,0.6587,0.01056541754290319,0.01056541754290319
2017,Other sectors,Belgium,42.7,42.7,114630.2857142857,120362,0.08,0.08,0.05,0.05,0.004,0.6587,0.2592986184909671,0.2592986184909671
2017,Other sectors,France,5840.101897784846,150.84,114630.2857142857,120362,0.08,0.08,0.29,0.31,0.023199999999999995,0.6587,205.69358437620832,5.312718991953848
2017,Other sectors,Germany,2024.1793700802727,150.84,114630.2857142857,120362,0.08,0.08,0.25,0.25,0.02,0.6587,61.45982602338767,4.579930165477456
