YEAR,ECONOMIC_SECTOR,RISK_COUNTRY,MEAN_WACI,MEDIAN_WACI
2017,Automotive and parts,Germany,402.3747533019585,402.3747533019585
2017,Beverages,Belgium,0.23287919071738475,0.23287919071738475
2017,Beverages,Germany,17.347870890049602,0.14807914905447087
2017,Beverages,Italy,1.1955605249887655,1.1955605249887655
2017,Beverages,Netherlands,0.27945502886086154,0.27945502886086154
2017,Beverages,Spain,0.35653560042507976,0.35653560042507976
2017,Chemicals,Belgium,4.038154368938743,4.038154368938743
2017,Chemicals,France,0.49888960786865055,0.49888960786865055
2017,Chemicals,Germany,151.62234957463093,201.18737665097925
2017,Construction & Materials,France,6.784241524657516,3.5089918523462256
2017,Construction & Materials,Italy,0.1788807708361846,0.1788807708361846
2017,Construction & Materials,Other (euro area),0.2911370882040383,0.2911370882040383
2017,Energy and basic resources,Belgium,0.44069861763243323,0.44069861763243323
2017,Energy and basic resources,France,13.726488380764419,13.726488380764419
2017,Energy and basic resources,Germany,10.43100191684249,8.418792459745774
2017,Energy and basic resources,Italy,6.23645716376578,6.23645716376578
2017,Energy and basic resources,Netherlands,1.0150119494354708,0.459025229229641
2017,Energy and basic resources,Other (euro area),2.9525869114901977,3.1547381875581175
2017,Energy and basic resources,Spain,8.062146652497347,8.062146652497347
2017,Food,France,0.8459737677508204,0.9219150192951481
2017,Food,Germany,0.28037169628715347,0.2616838734375401
2017,Food,Netherlands,0.33300414628720976,0.11222007261734421
2017,Infrastructure and transportation,France,153.94753218544398,18.82855928343707
2017,Infrastructure and transportation,Germany,8.403637454137625,4.3132697410462395
2017,Infrastructure and transportation,Italy,3.1051795987778084,0.6395987158280023
2017,Infrastructure and transportation,Netherlands,2.1355711795608303,3.8955639896766354
2017,Infrastructure and transportation,Other (euro area),3.8955639896766354,3.8955639896766354
2017,Infrastructure and transportation,Spain,1.685820116686061,1.685820116686061
2017,Insurance,France,0.012830895057901649,0.012830895057901649
2017,Insurance,Germany,1.717473812054046,1.717473812054046
2017,Insurance,Italy,0.25476472819082213,0.004302853634343135
2017,Insurance,Netherlands,15.343904701388087,29.22966099080185
2017,Insurance,Other (euro area),0.4121937148929709,0.4121937148929709
2017,Insurance,Spain,0.01056541754290319,0.01056541754290319
2017,Other sectors,Belgium,0.2592986184909671,0.2592986184909671
2017,Other sectors,France,205.69358437620832,5.312718991953848
2017,Other sectors,Germany,61.45982602338767,4.579930165477456
2017,Other sectors,Italy,18.895268165705044,2.015169272810081
2017,Other sectors,Netherlands,193.09476441697666,20.21625585117527
2017,Other sectors,Other (euro area),849.2829764451058,1.0991832397145895
2017,Other sectors,Other (non-euro area),0.14174805598997064,0.14174805598997064
2017,Other sectors,Spain,67.43786356382319,41.65678333239574
2017,Real estate,Belgium,0.0047936483454924395,0.0047936483454924395
2017,Real estate,France,78.12582197155872,2.2875967815393956
2017,Real estate,Germany,0.27401774005559154,0.006482594498895687
2017,Real estate,Italy,0.8677091240321846,0.8677091240321846
2017,Real estate,Netherlands,0.4732958858357372,0.4732958858357372
2017,Real estate,Other (euro area),0.6040164970119374,0.47329588583573706
2017,Telecommunication,France,1.1426643736640119,1.184506655622742
2017,Telecommunication,Germany,0.9878548656444514,0.9878548656444514
2017,Telecommunication,Italy,0.4346561408835585,0.4346561408835585
2017,Telecommunication,Netherlands,0.034536671269101385,0.034536671269101385
2017,Telecommunication,Other (euro area),0.23807023458966595,0.33260394490263867
2017,Utilities,Belgium,35.332260513131935,35.33226051313193
2017,Utilities,France,233.51311855691546,129.7694485784311
2017,Utilities,Germany,82.5728839997601,14.010197536984885
2017,Utilities,Italy,14.37251362579577,13.695997504390153
2017,Utilities,Netherlands,167.53250798407026,42.39871261575831
2017,Utilities,Other (euro area),35.860206297001284,42.39871261575831
2018,Automotive and parts,Germany,345.2595527572731,345.2595527572731
2018,Beverages,Belgium,0.2442282171343109,0.2442282171343109
2018,Beverages,France,0.7341461707215626,0.7341461707215626
2018,Beverages,Germany,6.1402535675249,0.15529556959096533
2018,Beverages,Italy,1.367808454728788,1.367808454728788
2018,Beverages,Netherlands,0.293073860561173,0.29307386056117307
2018,Beverages,Spain,0.3399189463019251,0.3399189463019251
2018,Chemicals,Belgium,3.464957381007314,3.464957381007314
2018,Chemicals,France,0.442835770782895,0.442835770782895
2018,Chemicals,Germany,142.0054931504945,172.62977637863656
2018,Construction & Materials,France,6.900593287261786,3.460812632908289
2018,Construction & Materials,Germany,1.8807463647119278,1.8807463647119278
2018,Construction & Materials,Italy,0.1860478644452608,0.1860478644452608
2018,Construction & Materials,Other (euro area),0.2775683890577508,0.2775683890577508
2018,Energy and basic resources,Belgium,0.36013669057066405,0.36013669057066405
2018,Energy and basic resources,France,11.604017757616887,11.604017757616887
2018,Energy and basic resources,Germany,8.14417085264882,6.879794793417952
2018,Energy and basic resources,Italy,5.559710598290229,5.559710598290229
2018,Energy and basic resources,Netherlands,0.7787876911824627,0.3751131052584386
2018,Energy and basic resources,Other (euro area),2.429860971173526,2.5780361567452785
2018,Energy and basic resources,Spain,5.989405123751629,5.989405123751629
2018,Food,France,0.831073551611937,0.9092569260630277
2018,Food,Germany,0.264548650853577,0.2494878671780398
2018,Food,Netherlands,0.34500451339601007,0.10698995778411438
2018,Infrastructure and transportation,France,126.19296896856382,17.022535822839775
2018,Infrastructure and transportation,Germany,7.007615838905816,3.7695588559244873
2018,Infrastructure and transportation,Italy,2.9516145257266553,0.6097896571369302
2018,Infrastructure and transportation,Netherlands,1.9366827953469132,3.4045071645679545
