Issuer Name,Risk Country,Economic Sector,Year,Number of bonds,Avg. Emission Intensity
Deutsche Börse AG,Germany,Other sectors,2020,153,150.84
Deutsche Post Finance B.V.,Netherlands,Other sectors,2020,51,395490.5545399147
Deutsche Telekom Intl Fin.B.V.,Netherlands,Other sectors,2020,913,3100.198584576376
E.ON Intl Finance B.V.,Netherlands,Other sectors,2020,110,10696.432052578431
EDP Finance B.V.,Netherlands,Utilities,2020,596,29930.67180447665
ELECTRICITE DE FRANCE (EDF),France,Utilities,2020,734,688.9501249331689
ENEXIS Holding NV,Netherlands,Utilities,2020,274,2909.17
ENI Finance International S.A.,Belgium,Other sectors,2020,31,73848.34612044007
ESB Finance DAC,Other (euro area),Other sectors,2020,255,98153.41680206443
EXOR N.V.,Netherlands,Other sectors,2020,442,10601.77
Edenred S.A.,France,Other sectors,2020,180,0.7847738253326929
EnBW International Finance BV,Netherlands,Other sectors,2020,240,80453.16514832982
Engie S.A.,France,Utilities,2020,1191,1842.2227538494094
EssilorLuxottica S.A.,France,Other sectors,2020,444,38.075087600272916
Eurofins Scientific SE,Other (euro area),Other sectors,2020,33,2420.27
Eurogrid GmbH,Germany,Other sectors,2020,215,150.84
Euronext N.V.,Netherlands,Other sectors,2020,108,150.84
"Ferrovial Emisiones, S.A.",Spain,Other sectors,2020,191,12874.28227608733
Fresenius Finance Ireland PLC,Other (euro area),Other sectors,2020,204,150.84
GECINA,France,Other sectors,2020,481,29.913444714553364
Groupe Bruxelles Lambert SA,Belgium,Other sectors,2020,8,10601.77
HeidelbergCement AG,Germany,Other sectors,2020,153,3329.7114238843
HeidelbergCement Fin.Lux. S.A.,Germany,Other sectors,2020,13,3329.7122561493084
HeidelbergCement Fin.Lux. S.A.,Other (euro area),Other sectors,2020,413,3329.7122561493084
Hella KGaA Hueck ,Germany,Other sectors,2020,105,10601.77
Holcim Finance S.A.,Other (euro area),Other sectors,2020,241,1570780.0500433068
Holding d Infrastructures de Transport S.A.S,France,Other sectors,2020,251,56.76906344410876
INFRA PARK,France,Infrastructure and transportation,2020,102,356.39
Iberdrola International B.V.,Netherlands,Other sectors,2020,453,76474.52882082162
JCDECAUX SA,France,Other sectors,2020,176,43.34562385228242
John Deere Cash Management SA,Other (euro area),Other sectors,2020,243,81940.02943340692
Kering S.A.,France,Other sectors,2020,296,15.312208737605877
Klepierre,France,Other sectors,2020,441,74.27697651589519
Koninklijke DSM NV,Netherlands,Other sectors,2020,256,149.69768245430376
Koninklijke Philips N.V.,Netherlands,Other sectors,2020,280,35.63890686445318
LANXESS AG,Germany,Other sectors,2020,204,658.2153362400244
LVMH Moët Henn. L. Vuitton SE,France,Other sectors,2020,532,185.40999999999997
La Poste,France,Other sectors,2020,204,10601.77
Legrand S.A.,France,Other sectors,2020,286,28.256778074180474
Linde AG,Netherlands,Other sectors,2020,303,34449.34869200129
MTU Aero Engines AG,Germany,Other sectors,2020,25,13.19211361768032
Mercialys,France,Real estate,2020,177,42.468239564428316
Merlin Properties SOCIMI S.A.,Spain,Other sectors,2020,259,150.84
Metsa Board Oyj,Other (euro area),Other sectors,2020,51,264.67345916151663
NOVOMATIC AG,Other (euro area),Other sectors,2020,102,150.84
"Nederlandse Gasunie, N.V.",Netherlands,Utilities,2020,306,2909.1700000000005
Nestlé Finance Intl Ltd.,Other (euro area),Other sectors,2020,556,150.84000000000003
Nokia OYJ,Other (euro area),Other sectors,2020,217,25.7738888646724
PROSUS N.V,Netherlands,Other sectors,2020,44,42.7
Paccar Financial Europe B.V.,Netherlands,Other sectors,2020,163,150.84
"Prosegur Compania de Seguridad, S.A., Madrid",Spain,Other sectors,2020,102,2420.2700000000004
Publicis Groupe S.A.,France,Other sectors,2020,153,2420.27
RENAULT SA,France,Other sectors,2020,298,20.70206752310467
RTE EDF TRANSPORT,France,Utilities,2020,709,9617.948278553993
Redexis Gas Finance B.V.,Netherlands,Other sectors,2020,132,150.84000000000003
Regie Autonome des Transports Parisiens (RATP),France,Infrastructure and transportation,2020,102,356.39
Robert Bosch GmbH,Germany,Other sectors,2020,51,0.030758228307909707
Roche Finance Europe B.V.,Netherlands,Other sectors,2020,102,10254.652992413598
SAP SE,Germany,Other sectors,2020,652,11.818576899745585
SIG Combibloc,Other (euro area),Other sectors,2020,54,150.84
SNCF MOBILITES,France,Infrastructure and transportation,2020,268,356.39
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),France,Infrastructure and transportation,2020,204,356.39
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),France,Other sectors,2020,102,56.76906344410876
SOCIETE FONCIERE LYONNAISE SA,France,Other sectors,2020,182,98.49318131008272
SODEXO SA,France,Other sectors,2020,318,6.588442416400188
SPP Infrastructure Fing B.V.,Netherlands,Other sectors,2020,80,150.84
SUEZ,France,Other sectors,2020,637,434.7950333825688
Schaeffler AG,Germany,Other sectors,2020,173,77.90212500568116
Schneider Electric SE,France,Other sectors,2020,540,16.709000670690813
Siemens Financieringsmaatschappij N.V.,Netherlands,Other sectors,2020,936,1043.3365273723857
Signify NV,Netherlands,Other sectors,2020,64,53.68631592055922
Stedin Holding N.V.,Netherlands,Other sectors,2020,204,150.84
"Stellantis N.V, Amsterdam",Netherlands,Other sectors,2020,145,8.697953969317572
Stora Enso Oyj,Other (euro area),Other sectors,2020,105,327.76803186751124
Südzucker Intl Finance B.V.,Netherlands,Other sectors,2020,102,150.84
THALES,France,Other sectors,2020,226,12.568541042091203
TOTAL INFRASTRUCTURES GAZ FRANCE,France,Infrastructure and transportation,2020,51,53777.01830250999
Telecom Italia Finance S.A.,Other (euro area),Other sectors,2020,51,10.936421810032144
Telefónica Europe B.V.,Netherlands,Other sectors,2020,51,150.84
Teleperformance SE,France,Other sectors,2020,4,185.41
TenneT Holding BV,Netherlands,Utilities,2020,723,2909.17
Total Capital International S.A.,France,Other sectors,2020,810,74495.64181587854
UPM-Kymmene OYJ,Other (euro area),Other sectors,2020,5,595.1396778942435
Unibail-Rodamco SE,France,Other sectors,2020,1257,150.84
Valeo S.A.,France,Other sectors,2020,255,41.02100992031381
Veolia Environnement S.A.,France,Other sectors,2020,703,1213.315721303899
Vier Gas Transport GmbH,Germany,Other sectors,2020,275,150.83999999999997
Volkswagen Intl Finance N.V.,Netherlands,Other sectors,2020,538,12029.896852357824
Vonovia Finance B.V.,Netherlands,Other sectors,2020,1259,122.45857214400978
Wendel S.A.,France,Other sectors,2020,134,150.84
Würth Finance International BV,Netherlands,Other sectors,2020,153,150.84
Západoslovenská energetika AS,Other (euro area),Other sectors,2020,102,150.84
adidas AG,Germany,Other sectors,2020,41,0.5012624371857725
alstria office REIT-AG,Germany,Other sectors,2020,128,0.09766425351727907
ABB Finance B.V.,Netherlands,Other sectors,2021,151,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2021,561,19.015738783180645
ASML Holding N.V.,Netherlands,Other sectors,2021,306,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2021,51,150.84
Air Liquide Finance,France,Other sectors,2021,51,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2021,51,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2021,255,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2021,453,639.8822767911323
Alstom S.A.,France,Other sectors,2021,145,14.151920145498455
Altareit SCA,France,Real estate,2021,51,0.5239144633283369
Amadeus Capital Markets S.A.U.,Spain,Other sectors,2021,32,3118.1049069373944
"Argan SA, Paris",France,Other sectors,2021,6,185.41
Aroundtown SA,Other (euro area),Other sectors,2021,355,150.84
Auchan Holding SA,France,Other sectors,2021,102,56.32542784385384
BASF Finance Europe N.V.,Netherlands,Other sectors,2021,51,737798.7209693706
BMW Finance N.V.,Netherlands,Other sectors,2021,1372,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2021,165,70.78
Bayer AG,Germany,Chemicals,2021,407,40.695390703555056
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2021,255,5748.9733976075695
Borealis AG,Other (euro area),Other sectors,2021,51,10601.77
Brenntag Finance B.V.,Netherlands,Other sectors,2021,63,150.84
CARMILA,France,Real estate,2021,243,7754.552820541477
CPI Property Group SA,Other (euro area),Other sectors,2021,99,260.91563202994865
CRH Finland Services OYJ,Other (euro area),Other sectors,2021,51,13140096.618357489
Ceetrus S.A,France,Other sectors,2021,51,150.84000000000003
Citycon Treasury B.V.,Netherlands,Other sectors,2021,236,992.6667670531547
Coca Cola HBC Finance B.V.,Netherlands,Other sectors,2021,204,6072.349313705988
Coentreprise de Transport d'Electricit�,France,Utilities,2021,153,2909.1699999999996
Compagnie Fin. Ind. Autoroutes,France,Infrastructure and transportation,2021,224,1297.435971925258
"Compagnie Generale des Etablissements Michelin, Clermont-Ferrand",France,Other sectors,2021,306,139.54105763258897
Compagnie de Saint-Gobain S.A.,France,Other sectors,2021,459,280.5911319126519
"Conti-Gummi Finance B.V., Amsterdam",Netherlands,Other sectors,2021,102,580125.5238095238
Continental AG,Germany,Other sectors,2021,153,61.250313978198804
Covestro AG,Germany,Other sectors,2021,179,10601.77
Covivio S.A.,France,Real estate,2021,343,86.6
DAA Finance PLC,Other (euro area),Other sectors,2021,102,150.84
Daimler Intl Finance B.V.,Netherlands,Other sectors,2021,577,780.1328446420465
Dassault Systemes,France,Other sectors,2021,204,10601.77
Deutsche Börse AG,Germany,Other sectors,2021,241,150.84
Deutsche Post Finance B.V.,Netherlands,Other sectors,2021,51,395490.5545399147
Deutsche Telekom Intl Fin.B.V.,Netherlands,Other sectors,2021,802,3100.198584576376
E.ON Intl Finance B.V.,Netherlands,Other sectors,2021,102,10696.432052578431
EDP Finance B.V.,Netherlands,Utilities,2021,512,29930.67180447665
ELECTRICITE DE FRANCE (EDF),France,Utilities,2021,634,688.9501249331689
ENEXIS Holding NV,Netherlands,Utilities,2021,291,2909.17
ESB Finance DAC,Other (euro area),Other sectors,2021,255,98153.41680206443
EXOR N.V.,Netherlands,Other sectors,2021,457,10601.77
Edenred S.A.,France,Other sectors,2021,204,0.7847738253326929
Elis SA,France,Other sectors,2021,14,40.10861539578853
EnBW International Finance BV,Netherlands,Other sectors,2021,384,80453.16514832982
Engie S.A.,France,Utilities,2021,1241,1842.2227538494094
EssilorLuxottica S.A.,France,Other sectors,2021,472,38.075087600272916
Eurofins Scientific SE,Other (euro area),Other sectors,2021,170,2420.27
Eurogrid GmbH,Germany,Other sectors,2021,226,150.84
Euronext N.V.,Netherlands,Other sectors,2021,198,150.84
"Ferrovial Emisiones, S.A.",Spain,Other sectors,2021,255,12874.28227608733
Fresenius Finance Ireland PLC,Other (euro area),Other sectors,2021,314,150.84
GECINA,France,Other sectors,2021,512,29.913444714553364
HeidelbergCement AG,Germany,Other sectors,2021,152,3329.7114238843
HeidelbergCement Fin.Lux. S.A.,Other (euro area),Other sectors,2021,321,3329.7122561493084
Hella KGaA Hueck ,Germany,Other sectors,2021,102,10601.77
Holcim Finance S.A.,Other (euro area),Other sectors,2021,480,1570780.0500433068
Holding d Infrastructures de Transport S.A.S,France,Other sectors,2021,330,56.76906344410876
INFRA PARK,France,Infrastructure and transportation,2021,102,356.39
Iberdrola International B.V.,Netherlands,Other sectors,2021,361,76474.52882082162
Infineon Technologies AG,Germany,Chemicals,2021,255,10601.77
JCDECAUX SA,France,Other sectors,2021,153,43.34562385228242
JDE Peets NV,Netherlands,Other sectors,2021,91,185.41
John Deere Cash Management SA,Other (euro area),Other sectors,2021,255,81940.02943340692
K+S Aktiengesellschaft,Germany,Chemicals,2021,73,10601.77
Kering S.A.,France,Other sectors,2021,293,15.312208737605877
Klepierre,France,Other sectors,2021,510,74.27697651589519
Koninklijke DSM NV,Netherlands,Other sectors,2021,278,149.69768245430376
Koninklijke Philips N.V.,Netherlands,Other sectors,2021,306,35.63890686445318
LANXESS AG,Germany,Other sectors,2021,199,658.2153362400244
LVMH Moët Henn. L. Vuitton SE,France,Other sectors,2021,483,185.40999999999997
La Poste,France,Other sectors,2021,197,10601.77
Legrand S.A.,France,Other sectors,2021,351,28.256778074180474
Linde AG,Netherlands,Other sectors,2021,306,34449.34869200129
Linde plc,Other (euro area),Other sectors,2021,39,845.2192287374538
Louis Dreyfus Co BV,Netherlands,Other sectors,2021,13,42.699999999999996
MTU Aero Engines AG,Germany,Other sectors,2021,51,13.19211361768032
Mercialys,France,Real estate,2021,204,42.468239564428316
Merlin Properties SOCIMI S.A.,Spain,Other sectors,2021,336,150.84
Metsa Board Oyj,Other (euro area),Other sectors,2021,51,264.67345916151663
NOVOMATIC AG,Other (euro area),Other sectors,2021,75,150.84
"Nederlandse Gasunie, N.V.",Netherlands,Utilities,2021,278,2909.1700000000005
Nestlé Finance Intl Ltd.,Other (euro area),Other sectors,2021,854,150.84000000000003
Nokia OYJ,Other (euro area),Other sectors,2021,209,25.7738888646724
PROSUS N.V,Netherlands,Other sectors,2021,154,42.7
Paccar Financial Europe B.V.,Netherlands,Other sectors,2021,164,150.84
"Prosegur Compania de Seguridad, S.A., Madrid",Spain,Other sectors,2021,102,2420.2700000000004
Publicis Groupe S.A.,France,Other sectors,2021,151,2420.27
RENAULT SA,France,Other sectors,2021,263,20.70206752310467
RTE EDF TRANSPORT,France,Utilities,2021,765,9617.948278553993
Redexis Gas Finance B.V.,Netherlands,Other sectors,2021,102,150.84000000000003
Regie Autonome des Transports Parisiens (RATP),France,Infrastructure and transportation,2021,140,356.39
Robert Bosch GmbH,Germany,Other sectors,2021,97,0.030758228307909707
Roche Finance Europe B.V.,Netherlands,Other sectors,2021,102,10254.652992413598
SAP SE,Germany,Other sectors,2021,622,11.818576899745585
SIG Combibloc,Other (euro area),Other sectors,2021,102,150.84
SNCF MOBILITES,France,Infrastructure and transportation,2021,327,356.39
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),France,Infrastructure and transportation,2021,204,356.39
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),France,Other sectors,2021,102,56.76906344410876
SOCIETE FONCIERE LYONNAISE SA,France,Other sectors,2021,196,98.49318131008272
SODEXO SA,France,Other sectors,2021,398,6.588442416400188
SPP Infrastructure Fing B.V.,Netherlands,Other sectors,2021,51,150.84
SUEZ,France,Other sectors,2021,724,434.7950333825688
Safran SA,France,Other sectors,2021,82,23.292025818759598
Schaeffler AG,Germany,Other sectors,2021,255,77.90212500568116
Schneider Electric SE,France,Other sectors,2021,545,16.709000670690813
Siemens Financieringsmaatschappij N.V.,Netherlands,Other sectors,2021,1011,1043.3365273723857
Signify NV,Netherlands,Other sectors,2021,102,53.68631592055922
Stedin Holding N.V.,Netherlands,Other sectors,2021,209,150.84
"Stellantis N.V, Amsterdam",Netherlands,Other sectors,2021,440,8.697953969317572
Stora Enso Oyj,Other (euro area),Other sectors,2021,153,327.76803186751124
Südzucker Intl Finance B.V.,Netherlands,Other sectors,2021,102,150.84
TDF Infrastructure,France,Infrastructure and transportation,2021,4,356.39
THALES,France,Other sectors,2021,306,12.568541042091203
TOTAL INFRASTRUCTURES GAZ FRANCE,France,Infrastructure and transportation,2021,115,53777.01830250999
Technip Energies NV,Netherlands,Other sectors,2021,31,109.59363468747627
Telecom Italia Finance S.A.,Other (euro area),Other sectors,2021,51,10.936421810032144
Telefónica Europe B.V.,Netherlands,Other sectors,2021,51,150.84
Teleperformance SE,France,Other sectors,2021,51,185.41
TenneT Holding BV,Netherlands,Utilities,2021,865,2909.17
Total Capital International S.A.,France,Other sectors,2021,861,74495.64181587854
UPM-Kymmene OYJ,Other (euro area),Other sectors,2021,91,595.1396778942435
Unibail-Rodamco SE,France,Other sectors,2021,1357,150.84
Valeo S.A.,France,Other sectors,2021,276,41.02100992031381
Veolia Environnement S.A.,France,Other sectors,2021,713,1213.315721303899
Vier Gas Transport GmbH,Germany,Other sectors,2021,255,150.83999999999997
Volkswagen Intl Finance N.V.,Netherlands,Other sectors,2021,646,12029.896852357824
Vonovia Finance B.V.,Netherlands,Other sectors,2021,1362,122.45857214400978
Wendel S.A.,France,Other sectors,2021,157,150.84
Würth Finance International BV,Netherlands,Other sectors,2021,153,150.84
Západoslovenská energetika AS,Other (euro area),Other sectors,2021,102,150.84
adidas AG,Germany,Other sectors,2021,153,0.5012624371857725
alstria office REIT-AG,Germany,Other sectors,2021,102,0.09766425351727907
ABB Finance B.V.,Netherlands,Other sectors,2022,24,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2022,88,19.015738783180645
ASML Holding N.V.,Netherlands,Other sectors,2022,48,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2022,8,150.84
Air Liquide Finance,France,Other sectors,2022,8,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2022,8,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2022,40,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2022,94,639.8822767911323
Alstom S.A.,France,Other sectors,2022,32,14.151920145498455
Altareit SCA,France,Real estate,2022,8,0.5239144633283369
"Argan SA, Paris",France,Other sectors,2022,8,185.41
Aroundtown SA,Other (euro area),Other sectors,2022,56,150.84
Auchan Holding SA,France,Other sectors,2022,16,56.32542784385384
BASF Finance Europe N.V.,Netherlands,Other sectors,2022,8,737798.7209693706
BMW Finance N.V.,Netherlands,Other sectors,2022,201,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2022,24,70.78
Bayer AG,Germany,Chemicals,2022,64,40.695390703555056
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2022,40,5748.9733976075695
Borealis AG,Other (euro area),Other sectors,2022,8,10601.77
Brenntag Finance B.V.,Netherlands,Other sectors,2022,16,150.84
CARMILA,France,Real estate,2022,40,7754.552820541477
CPI Property Group SA,Other (euro area),Other sectors,2022,23,260.91563202994865
CRH Finland Services OYJ,Other (euro area),Other sectors,2022,8,13140096.618357489
Ceetrus S.A,France,Other sectors,2022,8,150.84000000000003
Citycon Treasury B.V.,Netherlands,Other sectors,2022,32,992.6667670531547
Coca Cola HBC Finance B.V.,Netherlands,Other sectors,2022,32,6072.349313705988
Coentreprise de Transport d'Electricit�,France,Utilities,2022,24,2909.1699999999996
Compagnie Fin. Ind. Autoroutes,France,Infrastructure and transportation,2022,32,1297.435971925258
"Compagnie Generale des Etablissements Michelin, Clermont-Ferrand",France,Other sectors,2022,48,139.54105763258897
Compagnie de Saint-Gobain S.A.,France,Other sectors,2022,72,280.5911319126519
"Conti-Gummi Finance B.V., Amsterdam",Netherlands,Other sectors,2022,16,580125.5238095238
Continental AG,Germany,Other sectors,2022,24,61.250313978198804
Covestro AG,Germany,Other sectors,2022,24,10601.77
Covivio S.A.,France,Real estate,2022,64,86.6
DAA Finance PLC,Other (euro area),Other sectors,2022,16,150.84
Daimler Intl Finance B.V.,Netherlands,Other sectors,2022,80,780.1328446420465
Dassault Systemes,France,Other sectors,2022,32,10601.77
Deutsche Börse AG,Germany,Other sectors,2022,40,150.84
Deutsche Post Finance B.V.,Netherlands,Other sectors,2022,8,395490.5545399147
Deutsche Telekom Intl Fin.B.V.,Netherlands,Other sectors,2022,112,3100.198584576376
E.ON Intl Finance B.V.,Netherlands,Other sectors,2022,16,10696.432052578431
EDP Finance B.V.,Netherlands,Utilities,2022,74,29930.67180447665
ELECTRICITE DE FRANCE (EDF),France,Utilities,2022,98,688.9501249331689
ENEXIS Holding NV,Netherlands,Utilities,2022,43,2909.17
ESB Finance DAC,Other (euro area),Other sectors,2022,45,98153.41680206443
EXOR N.V.,Netherlands,Other sectors,2022,72,10601.77
Edenred S.A.,France,Other sectors,2022,32,0.7847738253326929
Elis SA,France,Other sectors,2022,8,40.10861539578853
EnBW International Finance BV,Netherlands,Other sectors,2022,64,80453.16514832982
Engie S.A.,France,Utilities,2022,200,1842.2227538494094
EssilorLuxottica S.A.,France,Other sectors,2022,72,38.075087600272916
Eurofins Scientific SE,Other (euro area),Other sectors,2022,24,2420.27
Eurogrid GmbH,Germany,Other sectors,2022,40,150.84
Euronext N.V.,Netherlands,Other sectors,2022,40,150.84
"Ferrovial Emisiones, S.A.",Spain,Other sectors,2022,40,12874.28227608733
Fresenius Finance Ireland PLC,Other (euro area),Other sectors,2022,48,150.84
GECINA,France,Other sectors,2022,85,29.913444714553364
HeidelbergCement AG,Germany,Other sectors,2022,16,3329.7114238843
HeidelbergCement Fin.Lux. S.A.,Other (euro area),Other sectors,2022,48,3329.7122561493084
Hella KGaA Hueck ,Germany,Other sectors,2022,16,10601.77
Holcim Finance S.A.,Other (euro area),Other sectors,2022,88,1570780.0500433068
Holding d Infrastructures de Transport S.A.S,France,Other sectors,2022,54,56.76906344410876
INFRA PARK,France,Infrastructure and transportation,2022,16,356.39
Iberdrola International B.V.,Netherlands,Other sectors,2022,52,76474.52882082162
Infineon Technologies AG,Germany,Chemicals,2022,40,10601.77
JCDECAUX SA,France,Other sectors,2022,27,43.34562385228242
JDE Peets NV,Netherlands,Other sectors,2022,32,185.41
John Deere Cash Management SA,Other (euro area),Other sectors,2022,40,81940.02943340692
Kering S.A.,France,Other sectors,2022,40,15.312208737605877
Klepierre,France,Other sectors,2022,80,74.27697651589519
Koninklijke DSM NV,Netherlands,Other sectors,2022,40,149.69768245430376
Koninklijke Philips N.V.,Netherlands,Other sectors,2022,48,35.63890686445318
LANXESS AG,Germany,Other sectors,2022,40,658.2153362400244
LVMH Moët Henn. L. Vuitton SE,France,Other sectors,2022,69,185.40999999999997
La Poste,France,Other sectors,2022,24,10601.77
Legrand S.A.,France,Other sectors,2022,64,28.256778074180474
Linde AG,Netherlands,Other sectors,2022,42,34449.34869200129
Linde plc,Other (euro area),Other sectors,2022,24,845.2192287374538
Louis Dreyfus Co BV,Netherlands,Other sectors,2022,16,42.699999999999996
MTU Aero Engines AG,Germany,Other sectors,2022,8,13.19211361768032
Mercialys,France,Real estate,2022,32,42.468239564428316
Merlin Properties SOCIMI S.A.,Spain,Other sectors,2022,56,150.84
Metsa Board Oyj,Other (euro area),Other sectors,2022,8,264.67345916151663
NOVOMATIC AG,Other (euro area),Other sectors,2022,8,150.84
"Nederlandse Gasunie, N.V.",Netherlands,Utilities,2022,40,2909.1700000000005
Nestlé Finance Intl Ltd.,Other (euro area),Other sectors,2022,136,150.84000000000003
Nokia OYJ,Other (euro area),Other sectors,2022,32,25.7738888646724
PROSUS N.V,Netherlands,Other sectors,2022,50,42.7
Paccar Financial Europe B.V.,Netherlands,Other sectors,2022,24,150.84
"Prosegur Compania de Seguridad, S.A., Madrid",Spain,Other sectors,2022,16,2420.2700000000004
Publicis Groupe S.A.,France,Other sectors,2022,16,2420.27
RENAULT SA,France,Other sectors,2022,40,20.70206752310467
RTE EDF TRANSPORT,France,Utilities,2022,127,9617.948278553993
Redexis Gas Finance B.V.,Netherlands,Other sectors,2022,16,150.84000000000003
Regie Autonome des Transports Parisiens (RATP),France,Infrastructure and transportation,2022,24,356.39
Robert Bosch GmbH,Germany,Other sectors,2022,16,0.030758228307909707
Roche Finance Europe B.V.,Netherlands,Other sectors,2022,16,10254.652992413598
SAP SE,Germany,Other sectors,2022,96,11.818576899745585
SIG Combibloc,Other (euro area),Other sectors,2022,16,150.84
SNCF MOBILITES,France,Infrastructure and transportation,2022,56,356.39
SOCIETE ANONYME DE GESTION DES STOCKS DE SECURITE (SAGESS),France,Infrastructure and transportation,2022,32,356.39
SOCIETE DES AUTOROUTES DU NORD ET DE L EST DE LA FRANCE (SANEF),France,Other sectors,2022,16,56.76906344410876
SOCIETE FONCIERE LYONNAISE SA,France,Other sectors,2022,32,98.49318131008272
SODEXO SA,France,Other sectors,2022,56,6.588442416400188
SPP Infrastructure Fing B.V.,Netherlands,Other sectors,2022,8,150.84
SUEZ,France,Other sectors,2022,112,434.7950333825688
Safran SA,France,Other sectors,2022,16,23.292025818759598
Schaeffler AG,Germany,Other sectors,2022,40,77.90212500568116
Schneider Electric SE,France,Other sectors,2022,80,16.709000670690813
Siemens Financieringsmaatschappij N.V.,Netherlands,Other sectors,2022,147,1043.3365273723857
Signify NV,Netherlands,Other sectors,2022,16,53.68631592055922
Stedin Holding N.V.,Netherlands,Other sectors,2022,40,150.84
"Stellantis N.V, Amsterdam",Netherlands,Other sectors,2022,96,8.697953969317572
Stora Enso Oyj,Other (euro area),Other sectors,2022,24,327.76803186751124
Südzucker Intl Finance B.V.,Netherlands,Other sectors,2022,16,150.84
TDF Infrastructure,France,Infrastructure and transportation,2022,8,356.39
THALES,France,Other sectors,2022,48,12.568541042091203
TOTAL INFRASTRUCTURES GAZ FRANCE,France,Infrastructure and transportation,2022,24,53777.01830250999
Technip Energies NV,Netherlands,Other sectors,2022,8,109.59363468747627
Telecom Italia Finance S.A.,Other (euro area),Other sectors,2022,8,10.936421810032144
Telefónica Europe B.V.,Netherlands,Other sectors,2022,8,150.84
Teleperformance SE,France,Other sectors,2022,8,185.41
TenneT Holding BV,Netherlands,Utilities,2022,149,2909.17
Total Capital International S.A.,France,Other sectors,2022,128,74495.64181587854
UPM-Kymmene OYJ,Other (euro area),Other sectors,2022,16,595.1396778942435
Unibail-Rodamco SE,France,Other sectors,2022,208,150.84
Valeo S.A.,France,Other sectors,2022,48,41.02100992031381
Veolia Environnement S.A.,France,Other sectors,2022,112,1213.315721303899
Vier Gas Transport GmbH,Germany,Other sectors,2022,40,150.83999999999997
Volkswagen Intl Finance N.V.,Netherlands,Other sectors,2022,104,12029.896852357824
Vonovia Finance B.V.,Netherlands,Other sectors,2022,203,122.45857214400978
Wendel S.A.,France,Other sectors,2022,30,150.84
Würth Finance International BV,Netherlands,Other sectors,2022,23,150.84
Západoslovenská energetika AS,Other (euro area),Other sectors,2022,16,150.84
adidas AG,Germany,Other sectors,2022,24,0.5012624371857725
alstria office REIT-AG,Germany,Other sectors,2022,16,0.09766425351727907
